time_day,conc_nM,type
0,1754.36,intact_Trodelvy
0.48,1081.93,intact_Trodelvy
1.07,580.08,intact_Trodelvy
1.66,253.66,intact_Trodelvy
4.28,10.4,intact_Trodelvy
7.13,10.84,intact_Trodelvy
7.1,1740.85,intact_Trodelvy
7.68,917.36,intact_Trodelvy
8.26,439.86,intact_Trodelvy
9.68,79.46,intact_Trodelvy
20.85,8.09,intact_Trodelvy
20.98,1752.75,intact_Trodelvy
21.92,768.49,intact_Trodelvy
22.44,383.58,intact_Trodelvy
23.33,135.18,intact_Trodelvy
24.53,37.9,intact_Trodelvy
27.98,9.19,intact_Trodelvy
28.03,1739.22,intact_Trodelvy
28.6,944.96,intact_Trodelvy
29.19,496.71,intact_Trodelvy
29.78,253.13,intact_Trodelvy
30.53,107.05,intact_Trodelvy
31.88,29.29,intact_Trodelvy
41.93,16.22,intact_Trodelvy
42.2,1741.41,intact_Trodelvy
42.63,981.24,intact_Trodelvy
43.07,630.43,intact_Trodelvy
43.88,235.82,intact_Trodelvy
45.3,45.98,intact_Trodelvy
48.9,12.43,intact_Trodelvy
49.1,1761.97,intact_Trodelvy
49.61,1045.67,intact_Trodelvy
50.04,651.01,intact_Trodelvy
50.49,358.68,intact_Trodelvy
51.38,120.02,intact_Trodelvy
52.73,42.26,intact_Trodelvy
62.93,19.47,intact_Trodelvy
0,1739.77,total_Trodelvy
2.03,1266.73,total_Trodelvy
3.67,969.21,total_Trodelvy
5.47,715.52,total_Trodelvy
6.6,593.51,total_Trodelvy
6.97,2289.36,total_Trodelvy
8.03,1972.43,total_Trodelvy
9.22,1611.62,total_Trodelvy
11.25,1167.84,total_Trodelvy
13.27,821.52,total_Trodelvy
16.05,514.07,total_Trodelvy
20.7,240.45,total_Trodelvy
21.07,1960.67,total_Trodelvy
22.73,1502.32,total_Trodelvy
24,1234.09,total_Trodelvy
25.57,936.58,total_Trodelvy
27.45,687.75,total_Trodelvy
28.05,2378.69,total_Trodelvy
29.55,1837.52,total_Trodelvy
31.42,1335.28,total_Trodelvy
33.97,906.04,total_Trodelvy
37.35,510.78,total_Trodelvy
41.7,251.82,total_Trodelvy
41.92,1986.68,total_Trodelvy
43.27,1616.1,total_Trodelvy
44.77,1264.99,total_Trodelvy
46.27,1001.6,total_Trodelvy
48.6,674.73,total_Trodelvy
49.05,2365.69,total_Trodelvy
49.87,2043.93,total_Trodelvy
51.07,1687.99,total_Trodelvy
53.25,1200.33,total_Trodelvy
55.27,854.01,total_Trodelvy
59.02,463.57,total_Trodelvy
62.55,253.47,total_Trodelvy
