time_day,conc_ugmL,type,dose,species
0,156.984,total Ab,6 mg/kg,cyno
0.362,131.469,total Ab,6 mg/kg,cyno
1.055,79.954,total Ab,6 mg/kg,cyno
2.983,42.258,total Ab,6 mg/kg,cyno
7,15.701,total Ab,6 mg/kg,cyno
14,2.163,total Ab,6 mg/kg,cyno
21,0.058,total Ab,6 mg/kg,cyno
0,194.404,Dato-Dxd,6 mg/kg,cyno
0.392,136.241,Dato-Dxd,6 mg/kg,cyno
1.024,79.95,Dato-Dxd,6 mg/kg,cyno
3.043,37.98,Dato-Dxd,6 mg/kg,cyno
7,13.616,Dato-Dxd,6 mg/kg,cyno
14,1.314,Dato-Dxd,6 mg/kg,cyno
21,0.021,Dato-Dxd,6 mg/kg,cyno
