time_d,adc_conc_ngmL,dose_mgkg
0.0, 3655.7, 0.2
0.1, 3418.4, 0.2
0.3, 3125.2, 0.2
0.9, 2388.3, 0.2
2.0, 1458.9, 0.2
7.0, 567.4, 0.2
14.0, 352.2, 0.2
21.0, 114.3, 0.2
0.1, 2499.9, 0.14
0.1, 2337.5, 0.14
0.3, 2043.8, 0.14
1.0, 1867.5, 0.14
7.0, 507.5, 0.14
14.1, 308.0, 0.14
21.0, 199.9, 0.14
0.1, 1367.0, 0.1
0.1, 1634.7, 0.1
0.3, 1461.5, 0.1
1.0, 1248.9, 0.1
2.0, 932.9, 0.1
7.0, 354.8, 0.1
14.0, 176.1, 0.1
21.0, 119.5, 0.1
0.1, 611.3, 0.05
0.1, 683.6, 0.05
0.2, 730.9, 0.05
1.0, 499.4, 0.05
2.0, 390.1, 0.05
7.0, 165.9, 0.05
14.0, 82.4, 0.05
21.1, 61.1, 0.05
0.1, 399.7, 0.025
0.2, 399.7, 0.025
0.3, 390.8, 0.025
1.0, 319.4, 0.025
2.0, 233.3, 0.025
7.0, 72.6, 0.025
14.0, 38.5, 0.025
20.9, 33.4, 0.025
0.1, 146.2, 0.0125
0.1, 136.7, 0.0125
0.3, 133.6, 0.0125
1.0, 114.2, 0.0125
2.0, 93.3, 0.0125
7.0, 48.5, 0.0125
14.0, 33.7, 0.0125
21.1, 24.4, 0.0125
