time_d,adc_conc_ngmL,dose_mgkg
0.5, 248.1, 0.0125
0.2, 204.8, 0.0125
0.2, 153.6, 0.0125
1.5, 95.0, 0.0125
2.2, 132.8, 0.0125
3.2, 153.3, 0.0125
21.0, 35.9, 0.0125
21.0, 29.6, 0.0125
21.2, 268.8, 0.0125
42.0, 57.0, 0.0125
42.2, 291.2, 0.0125
62.8, 71.3, 0.0125
0.5, 717.2, 0.025
0.2, 335.6, 0.025
0.2, 136.2, 0.025
6.5, 189.8, 0.025
7.2, 129.8, 0.025
6.9, 41.5, 0.025
6.9, 31.2, 0.025
1.4, 189.8, 0.025
2.6, 351.9, 0.025
2.4, 291.0, 0.025
21.0, 70.0, 0.025
21.0, 63.7, 0.025
20.7, 24.6, 0.025
21.4, 490.6, 0.025
21.4, 788.7, 0.025
41.7, 107.4, 0.025
41.2, 27.1, 0.025
42.1, 490.6, 0.025
62.7, 123.8, 0.025
0.2, 1081.7, 0.05
0.0, 669.6, 0.05
1.0, 455.9, 0.05
1.0, 325.9, 0.05
1.5, 526.2, 0.05
1.5, 455.7, 0.05
6.6, 243.3, 0.05
6.6, 200.8, 0.05
6.2, 97.8, 0.05
6.4, 150.6, 0.05
6.6, 130.4, 0.05
13.5, 32.3, 0.05
13.3, 66.3, 0.05
20.9, 135.3, 0.05
20.7, 101.5, 0.05
20.9, 92.2, 0.05
20.7, 57.1, 0.05
20.4, 47.1, 0.05
20.4, 27.8, 0.05
20.4, 21.9, 0.05
21.2, 1014.7, 0.05
21.2, 798.3, 0.05
21.2, 543.9, 0.05
42.1, 38.3, 0.05
42.1, 51.0, 0.05
42.1, 146.6, 0.05
42.1, 864.8, 0.05
42.1, 486.3, 0.05
63.0, 222.2, 0.05
63.0, 166.6, 0.05
63.0, 35.9, 0.05
0.5, 2513.7, 0.1
0.5, 1946.5, 0.1
7.6, 634.2, 0.1
7.6, 544.0, 0.1
7.6, 421.2, 0.1
7.5, 343.3, 0.1
7.5, 309.9, 0.1
2.3, 333.4, 0.1
7.0, 241.8, 0.1
8.3, 99.5, 0.1
7.0, 106.7, 0.1
14.1, 107.1, 0.1
14.2, 242.7, 0.1
14.1, 33.0, 0.1
14.1, 25.6, 0.1
20.7, 20.0, 0.1
21.0, 87.9, 0.1
21.0, 119.5, 0.1
21.0, 146.6, 0.1
20.8, 210.4, 0.1
21.0, 270.8, 0.1
21.1, 2094.1, 0.1
21.1, 1890.5, 0.1
21.1, 1540.7, 0.1
21.1, 1321.6, 0.1
21.1, 1077.1, 0.1
21.1, 972.4, 0.1
41.7, 276.8, 0.1
41.7, 214.3, 0.1
41.9, 174.0, 0.1
41.4, 158.3, 0.1
41.9, 104.4, 0.1
41.9, 80.8, 0.1
41.9, 73.0, 0.1
42.1, 17.4, 0.1
42.1, 15.7, 0.1
42.5, 1480.1, 0.1
42.5, 1146.1, 0.1
42.5, 983.1, 0.1
42.5, 887.5, 0.1
42.5, 801.2, 0.1
62.9, 253.5, 0.1
62.9, 217.5, 0.1
62.8, 196.3, 0.1
62.8, 82.3, 0.1
