time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
0.0,1.7405614698127925e-17,1.6769288945251158e-17,5.481340380368394e-19,1.057441206659587e-18,5.086523846103974e-18,1.2506331950379764e-18,2.522427437263296e-18,1.367573072948926e-18,8.254189404548479e-18,5.354736193420231e-18,6.4965755190505165e-18,1.7136758160453473e-19,2.7741175979329823e-18,4.5660412353612744e-17,2.2120231256162688e-13,150 ug/kg
0.0,1.7405614698127925e-17,1.6769288945251158e-17,5.481340380368394e-19,1.057441206659587e-18,5.086523846103974e-18,1.2506331950379764e-18,2.522427437263296e-18,1.367573072948926e-18,8.254189404548479e-18,5.354736193420231e-18,6.4965755190505165e-18,1.7136758160453473e-19,2.7741175979329823e-18,4.5660412353612744e-17,2.2120231256162688e-13,150 ug/kg
0.1,1.8773739283489762e-10,1.5973495794873776e-10,5.852262668373421e-12,6.721314750423501e-12,3.906161904709703e-11,9.396908510310677e-12,5.6651641624604735e-12,1.459325863651305e-11,9.146743987761858e-11,5.907223327861144e-11,7.124728953529771e-11,1.8071952091153133e-12,3.0103213765529056e-11,4.416353771527091e-10,0.01620511981730162,150 ug/kg
0.1,1.8773739283489762e-10,1.5973495794873776e-10,5.852262668373421e-12,6.721314750423501e-12,3.906161904709703e-11,9.396908510310677e-12,5.6651641624604735e-12,1.459325863651305e-11,9.146743987761858e-11,5.907223327861144e-11,7.124728953529771e-11,1.8071952091153133e-12,3.0103213765529056e-11,4.416353771527091e-10,0.01620511981730162,150 ug/kg
0.99,8.219499398855761e-8,7.8683442413686e-8,2.51039182460656e-9,4.634383870781996e-9,2.296382537924783e-8,5.584806243315947e-9,9.81800359951021e-9,6.246595231995491e-9,4.039309532675126e-8,2.507528177856593e-8,2.993791373198398e-8,7.997427617707742e-10,1.3188247967679099e-8,2.1539074777891597e-7,0.014606306892456015,150 ug/kg
1.99,1.9420237499804988e-7,1.8768935415640844e-7,5.829022721503921e-9,1.0844054541203031e-8,5.411275252587208e-8,1.3000372281119187e-8,2.516482684433078e-8,1.4384694800485439e-8,9.568779693674361e-8,5.9145297211581237e-8,6.958820421568627e-8,1.8850673991780596e-9,3.1335111897107406e-8,5.191613367320426e-7,0.014195803520224225,150 ug/kg
2.99,2.9040174065330785e-7,2.859400329718398e-7,8.721290848978128e-9,1.6152724230793625e-8,8.073561324084678e-8,1.9339453744850662e-8,3.803026633227459e-8,2.1366347230757618e-8,1.4324422977126846e-7,8.94417144878192e-8,1.0420139461915134e-7,2.8480543780176025e-9,4.7366813860890274e-8,7.95716462323777e-7,0.013831729461659743,150 ug/kg
3.99,3.785659127321045e-7,3.795093581269077e-7,1.1408090495177427e-8,2.1045713368354386e-8,1.0529328189882305e-7,2.5177001961919025e-8,4.987476931562386e-8,2.7799365383129658e-8,1.867239250663725e-7,1.178418194932332e-7,1.3641829611815063e-7,3.751192131977513e-9,6.220989513879452e-8,1.0592637633610778e-6,0.013498257019484877,150 ug/kg
4.99,4.59683313244789e-7,4.679690192507598e-7,1.3900743653910682e-8,2.5570296899908967e-8,1.2802211074314953e-7,3.057010785958525e-8,6.082708443599038e-8,3.374185452705448e-8,2.2671299657284201e-7,1.44292132602472e-7,1.6636260860039434e-7,4.593390332391774e-9,7.588986891979809e-8,1.3075450741704453e-6,0.013188457097099884,150 ug/kg
5.99,5.344393012061615e-7,5.510196818954303e-7,1.6208056739959794e-8,2.9756621453398203e-8,1.490702667173032e-7,3.5555492363231426e-8,7.096117563531978e-8,3.923160833031605e-8,2.635784650729107e-7,1.6880405214784826e-7,1.9412446235588664e-7,5.374971692288627e-9,8.847902742454825e-8,1.539397604889626e-6,0.012898536958554618,150 ug/kg
6.99,6.033947903916151e-7,6.285887886206355e-7,1.834064833357434e-8,3.3631377830419484e-8,1.6856892670066349e-7,4.0165662039709284e-8,8.034219215467649e-8,4.4302763046642905e-8,2.975980351700377e-7,1.9145500834248638e-7,2.1981652359350802e-7,6.098134927228083e-9,1.0006767957383051e-7,1.754672281173915e-6,0.012625926229865246,150 ug/kg
7.99,6.670253906681609e-7,7.007590680193286e-7,2.0309880918697552e-8,3.721861213604153e-8,1.866363504558109e-7,4.442988654356151e-8,8.90287324452846e-8,4.898659289178408e-8,3.2900206928015597e-7,2.1235386973055917e-7,2.435629562196592e-7,6.766046619234419e-9,1.1074280623700268e-7,1.9538222003340167e-6,0.012368660550640929,150 ug/kg
8.99,7.257544305288536e-7,7.677142872849352e-7,2.2127177281638697e-8,4.0540128187612324e-8,2.0337984469575665e-7,4.8374688406830614e-8,9.707387255608682e-8,5.3311852294502053e-8,3.579965778595087e-7,2.3162181381693357e-7,2.654915297770562e-7,7.38229999281874e-9,1.2058405869433375e-7,2.1376400569880857e-6,0.012125150455896848,150 ug/kg
9.99,7.7995262059234e-7,8.296945321512508e-7,2.3803513619567645e-8,4.361572623609108e-8,2.188969664318813e-7,5.2024139729410085e-8,1.0452598729500657e-7,5.7304955889361094e-8,3.847620840475693e-7,2.493791329444779e-7,2.8572759797788257e-7,7.950530646880806e-9,1.2965940980013486e-7,2.3070682024436487e-6,0.011894075227788441,150 ug/kg
10.99,8.299665529068095e-7,8.86978268995333e-7,2.5349345709161783e-8,4.646350254596214e-8,2.3327693046712235e-7,5.54002206432708e-8,1.1142909072102927e-7,6.099026088236093e-8,4.0946887606018484e-7,2.6574266493379053e-7,3.043923262556011e-7,8.4743168532036e-9,1.3803188487180067e-7,2.46311174590218e-6,0.01167431809106187,150 ug/kg
11.99,8.761058376066243e-7,9.398522800015676e-7,2.6774373987129032e-8,4.9100008444259575e-8,2.4660138969248094e-7,5.852301784872436e-8,1.178231658465083e-7,6.439020010813725e-8,4.3226668387330524e-7,2.8081895109728645e-7,3.2159970502379486e-7,8.956980152412131e-9,1.4575449524432797e-7,2.606749724654109e-6,0.011464923720630885,150 ug/kg
12.99,9.18655378953224e-7,9.886060425578661e-7,2.8087586983831918e-8,5.154038327524912e-8,2.58945130166154e-7,6.141089528392991e-8,1.2374513709118627e-7,6.752542079356774e-8,4.5329590408523495e-7,2.947077048284198e-7,3.3745643470840747e-7,9.401642990191103e-9,1.5287676893783997e-7,2.7389327118954183e-6,0.011265065642571735,150 ug/kg
13.99,9.57876114911127e-7,1.0335215473603596e-6,2.9297265191303532e-8,5.3798535855168174e-8,2.703769092119743e-7,6.408070875713656e-8,1.292287473366917e-7,7.04149679964882e-8,4.7268431058742745e-7,3.0749944349193404e-7,3.520616006089424e-7,9.81116901140835e-9,1.594428948425675e-7,2.860541088796574e-6,0.011074022606857333,150 ug/kg
14.99,9.94007576638072e-7,1.0748680885674817e-6,3.041101345847691e-8,5.5887251362905794e-8,2.8095998693831493e-7,6.654794039239836e-8,1.3430500910349797e-7,7.307640321068547e-8,4.905493363637899e-7,3.192766404982317e-7,3.655067543472915e-7,1.0188181626450017e-8,1.6549314205639167e-7,2.9723893660521458e-6,0.010891159847140971,150 ug/kg
15.99,1.02727001765103e-6,1.1128995320737825e-6,3.1435815770701404e-8,5.7818304177392555e-8,2.907526747540336e-7,6.882683673198688e-8,1.3900245998975155e-7,7.552593389302701e-8,5.069989765997594e-7,3.301144638565373e-7,3.7787633645988245e-7,1.0535081375780877e-8,1.7106432451049012e-7,3.0752321729953497e-6,0.010715913957600081,150 ug/kg
16.99,1.0578662321205122e-6,1.1478542123479217e-6,3.2378081911237406e-8,5.960254968425189e-8,2.998087835919643e-7,7.093052209495851e-8,1.433474056392258e-7,7.777852272149239e-8,5.221327801020731e-7,3.400814744630137e-7,3.8924807753418946e-7,1.0854063380763837e-8,1.7619027876885058e-7,3.1697513055631465e-6,0.01054778161543907,150 ug/kg
17.99,1.0859831824332074e-6,1.1799548540837083e-6,3.3243712092110694e-8,6.125000705163478e-8,3.0817802172452304e-7,7.287110020261656e-8,1.4736409089398346e-7,7.984799115253639e-8,5.360425773377798e-7,3.4924039777704794e-7,3.9969364995866475e-7,1.1147142101148692e-8,1.8090214520695067e-7,3.2565566957090246e-6,0.010386310416780134,150 ug/kg
18.99,1.1117932918336572e-6,1.2094053183914673e-6,3.403811169598152e-8,6.276993603552745e-8,3.15906372004576e-7,7.46597478379437e-8,1.5107492611111168e-7,8.174710985600645e-8,5.488130106100383e-7,3.576484640124824e-7,4.0927879282230036e-7,1.1416153610954385e-8,1.8522855083469523e-7,3.3362297383761614e-6,0.010231091298090928,150 ug/kg
19.99,1.135455922475501e-6,1.2363962863871652e-6,3.476627035729939e-8,6.417090298570646e-8,3.2303641158926506e-7,7.630679682125073e-8,1.5450062604953727e-7,8.348769161516483e-8,5.605224152684881e-7,3.653583580558566e-7,4.1806419615462475e-7,1.1662790483979403e-8,1.891960104217918e-7,3.409278063754086e-6,0.010081752358178228,150 ug/kg
20.99,1.157118414308211e-6,1.2611014906102053e-6,3.5432784854111556e-8,6.546084007112495e-8,3.296076002289371e-7,7.782180641256704e-8,1.5766035235829494e-7,8.508066591577758e-8,5.712432382932507e-7,3.724184798842481e-7,4.2610576466262454e-7,1.1888608032867312e-8,1.9282899716077257e-7,3.4761969191368837e-6,0.009937954018927749,150 ug/kg
21.99,1.176917126753159e-6,1.283683398273558e-6,3.6041895894020706e-8,6.664709919447898e-8,3.3565654268380957e-7,7.921362934418694e-8,1.6057186500966928e-7,8.653615121510158e-8,5.810425674649775e-7,3.788734251092149e-7,4.334550391118196e-7,1.2095038380840359e-8,1.9615020940810885e-7,3.537404121880815e-6,0.009799385189373675,150 ug/kg
22.99,1.1949783610744211e-6,1.3042912148809971e-6,3.659752359818071e-8,6.773649984980117e-8,3.412172223125118e-7,8.049047066736578e-8,1.6325162471037326e-7,8.786352115644044e-8,5.899825646945107e-7,3.847643768068723e-7,4.401596278940196e-7,1.2283403594414218e-8,1.991806561833411e-7,3.593291243635569e-6,0.009665759794553025,150 ug/kg
23.99,1.211419218449641e-6,1.323060746075729e-6,3.710329509183442e-8,6.873537373280026e-8,3.463212182491225e-7,8.165994247157722e-8,1.65714900266228e-7,8.907146539705475e-8,5.981208959439955e-7,3.901294400266908e-7,4.4626354166153057e-7,1.245492673029009e-8,2.0193982252732585e-7,3.6442528307889745e-6,0.009536813620552202,150 ug/kg
24.99,1.2263483230631222e-6,1.340120275871249e-6,3.7562567240807815e-8,6.964960304192177e-8,3.509978923209436e-7,8.272911066623083e-8,1.6797587932443205e-7,9.01680425047256e-8,6.055110846844123e-7,3.9500383809799745e-7,4.518074674921764e-7,1.2610737653194528e-8,2.0444581313378707e-7,3.6905992993426227e-6,0.009412302139196837,150 ug/kg
25.99,1.2398665525288433e-6,1.3555860156137827e-6,3.7978452548643174e-8,7.048465817206696e-8,3.552745736617821e-7,8.37045414188108e-8,1.7004773752834327e-7,9.116073296920908e-8,6.122028465075853e-7,3.994202355565274e-7,4.5682909065069016e-7,1.275188370040615e-8,2.067154145832245e-7,3.7326468818000486e-6,0.009291998792053275,150 ug/kg
26.99,1.252067663169737e-6,1.3695660351109163e-6,3.835384548092966e-8,7.124563107690903e-8,3.591767207975094e-7,8.459234158616037e-8,1.7194273786600878e-7,9.205648723797211e-8,6.182424254213242e-7,4.0340906788647026e-7,4.6136343040059306e-7,1.2879340649910138e-8,2.0876427378714564e-7,3.770698730269877e-6,0.009175692577644615,150 ug/kg
27.99,1.263038808023093e-6,1.382160670984411e-6,3.8691427511158065e-8,7.193726191078577e-8,3.6272805303166516e-7,8.539819166399446e-8,1.7367229068801674e-7,9.286176071265693e-8,6.236728217076623e-7,4.0699847039545664e-7,4.65442881901589e-7,1.2994009932593143e-8,2.1060692798405982e-7,3.8050092763043823e-6,0.009063186686475043,150 ug/kg
28.99,1.2728610856232145e-6,1.393462708993623e-6,3.8993696317199916e-8,7.256396803163479e-8,3.659506914134777e-7,8.612738115670469e-8,1.7524701895649053e-7,9.35825580251998e-8,6.285340666449621e-7,4.102147058305263e-7,4.690976040725518e-7,1.309673300988803e-8,2.1225690931353246e-7,3.835825795228415e-6,0.00895429799011325,150 ug/kg
29.99,1.2816100064609426e-6,1.4035584284291047e-6,3.926297366747195e-8,7.31298685976955e-8,3.6886527978886637e-7,8.678483852778516e-8,1.7667682568410964e-7,9.422446568758378e-8,6.328634509898495e-7,4.130821726762274e-7,4.7235560261424655e-7,1.3188291341073283e-8,2.1372682583131066e-7,3.863369220296546e-6,0.008848854155005468,150 ug/kg
30.99,1.289355951449548e-6,1.4125266021067043e-6,3.9501427583796585e-8,7.363880885813985e-8,3.7149110362483453e-7,8.737516078775951e-8,1.779709478727245e-7,9.479268820203082e-8,6.366957509164959e-7,4.156237216170755e-7,4.752430166704386e-7,1.3269416909417152e-8,2.1502844342812068e-7,3.887883196354005e-6,0.008746695225835687,150 ug/kg
31.99,1.2961645215061792e-6,1.4204414632432418e-6,3.9711068341605515e-8,7.409437808972036e-8,3.7384617941426247e-7,8.790263563421619e-8,1.7913800822159489e-7,9.529207088688198e-8,6.400633918767365e-7,4.178604426200645e-7,4.777840454560144e-7,1.3340784891391446e-8,2.1617272551910527e-7,3.909553729429392e-6,0.008647672506267703,150 ug/kg
32.99,1.3020968281614112e-6,1.4273742994252319e-6,3.989377953982782e-8,7.449992486834488e-8,3.7594732559579044e-7,8.837126026609324e-8,1.8018603831068597e-7,9.572712781913285e-8,6.429965905934903e-7,4.19812205725141e-7,4.800013777702678e-7,1.340303176384475e-8,2.1716988922387772e-7,3.928524878499929e-6,0.008551636313332757,150 ug/kg
33.99,1.307210061687955e-6,1.4333865349754912e-6,4.0051315802654115e-8,7.48585883107787e-8,3.778103219254514e-7,8.878477841108525e-8,1.8112256864643466e-7,9.610207700320816e-8,6.455236442679661e-7,4.2149750786170903e-7,4.819161101401677e-7,1.3456749591080487e-8,2.1802951266002475e-7,3.945024818952493e-6,0.008458464580599446,150 ug/kg
34.99,1.311557665008765e-6,1.4385470308695263e-6,4.018532887578895e-8,7.517330500933772e-8,3.79449936038485e-7,8.914669056593695e-8,1.819546306220119e-7,9.642086325313545e-8,6.476709921550464e-7,4.2293382768382405e-7,4.835481411385719e-7,1.350249823268641e-8,2.1876053149999913e-7,3.959051808708422e-6,0.008368012335063239,150 ug/kg
35.99,1.3151893757756732e-6,1.4428773233954341e-6,4.029731229885964e-8,7.544681736873651e-8,3.808799860989624e-7,8.946025942768531e-8,1.826888323943028e-7,9.668714021240803e-8,6.494632992800462e-7,4.2413656142268347e-7,4.849153250074858e-7,1.354077120983836e-8,2.1937131449584767e-7,3.971403610249025e-6,0.008280198274840262,150 ug/kg
36.99,1.318151818178029e-6,1.4464826205816733e-6,4.0388747808667246e-8,7.568168943726552e-8,3.821133677912047e-7,8.972854073554047e-8,1.833312540523019e-7,9.690435541904285e-8,6.509235931594772e-7,4.251218605011139e-7,4.860355793856825e-7,1.3572084376322092e-8,2.1986961569281848e-7,3.9812002949759265e-6,0.008194868205877106,150 ug/kg
37.99,1.3204888130913426e-6,1.4493850757512719e-6,4.046095911744464e-8,7.58803453874998e-8,3.831623111413782e-7,8.995441410967272e-8,1.8388773944298284e-7,9.707573683341787e-8,6.520736234982673e-7,4.259033442322623e-7,4.869248265283685e-7,1.3596875893578861e-8,2.2026284375932735e-7,3.989144923533444e-6,0.008111972180109447,150 ug/kg
38.99,1.3222404150009127e-6,1.4516243104849138e-6,4.051514343242486e-8,7.604499757215607e-8,3.840379751214357e-7,9.014050885653254e-8,1.843635350203709e-7,9.720418097450104e-8,6.529332263106128e-7,4.2649375386743327e-7,4.875970273492453e-7,1.3615548249874343e-8,2.2055758589255804e-7,3.995193608494305e-6,0.0080313371120377,150 ug/kg
