time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
0.0,1.5135120814084577e-17,1.458180322667571e-17,4.766322666051048e-19,9.19502489384904e-19,4.423006582264969e-18,1.0874932779742505e-18,2.193387112498477e-18,1.1891788237282213e-18,7.177465069441929e-18,4.656233115790528e-18,5.6491242482320305e-18,1.4901338967301665e-19,2.412245465791756e-18,3.9704196091883554e-17,1.6304312428837061e-13,0.0125 mg/kg
0.0,1.5135120814084577e-17,1.458180322667571e-17,4.766322666051048e-19,9.19502489384904e-19,4.423006582264969e-18,1.0874932779742505e-18,2.193387112498477e-18,1.1891788237282213e-18,7.177465069441929e-18,4.656233115790528e-18,5.6491242482320305e-18,1.4901338967301665e-19,2.412245465791756e-18,3.9704196091883554e-17,1.6304312428837061e-13,0.0125 mg/kg
0.001,2.8043927175080224e-16,1.932105119420074e-17,1.2404955223629946e-18,1.084936607920391e-18,5.754386162921313e-18,1.3622820802976308e-18,2.3419985094647338e-18,3.3472545938864306e-18,3.929488871116672e-17,2.5690138811202255e-17,2.5637811373959256e-17,3.6959305818872614e-19,8.600535145971128e-18,6.774260449511165e-17,0.0017688254579076037,0.0125 mg/kg
0.001,2.8043927175080224e-16,1.932105119420074e-17,1.2404955223629946e-18,1.084936607920391e-18,5.754386162921313e-18,1.3622820802976308e-18,2.3419985094647338e-18,3.3472545938864306e-18,3.929488871116672e-17,2.5690138811202255e-17,2.5637811373959256e-17,3.6959305818872614e-19,8.600535145971128e-18,6.774260449511165e-17,0.0017688254579076037,0.0125 mg/kg
0.99,3.0082535454012506e-9,2.8782797699048024e-9,9.173684906585934e-11,1.695272789532929e-10,8.403799714081924e-10,2.042128722057188e-10,3.6155196164657125e-10,2.2821413523771547e-10,1.479499813205254e-9,9.169930395654041e-10,1.0940978956407844e-9,2.924377988447989e-11,4.825284216123589e-10,7.881204520680409e-9,0.0008806743302502537,0.0125 mg/kg
1.99,6.925488801285415e-9,6.692430035750792e-9,2.0766516248838956e-10,3.860676888102139e-10,1.9265795148775713e-9,4.628228064754642e-10,8.959721552535758e-10,5.121413873113719e-10,3.418844680275077e-9,2.109022538983801e-9,2.478929468860606e-9,6.721159590434686e-11,1.1182339635869697e-9,1.8517824319421935e-8,0.0008638978255693633,0.0125 mg/kg
2.99,1.0431253173289432e-8,1.0273477703429738e-8,3.130098674729487e-10,5.79094587268163e-10,2.894337184208543e-9,6.933520915525366e-10,1.3621133419149315e-9,7.661986282306061e-10,5.155677977390905e-9,3.2135581586962268e-9,3.739374974244061e-9,1.0231891984528772e-10,1.7032856757280973e-9,2.859945690478885e-8,0.000848671051193544,0.0125 mg/kg
3.99,1.3792226205638951e-8,1.3834155430211198e-8,4.1533903481382106e-10,7.652384112997722e-10,3.8282739613063985e-9,9.15473233085091e-10,1.811072501540769e-9,1.011126914183129e-9,6.818017526916476e-9,4.295662823496852e-9,4.965979529835868e-9,1.367239598306663e-10,2.26950262009799e-9,3.8627772393332865e-8,0.0008344157296481145,0.0125 mg/kg
4.99,1.7026682125674816e-8,1.734696002754361e-8,5.145875746257502e-10,9.452730983948558e-10,4.732290634915427e-9,1.1301231326643518e-9,2.2452279560677295e-9,1.2477895655385214e-9,8.418673879325403e-9,5.349094856213942e-9,6.157698272179539e-9,1.7024410262515628e-10,2.815135072092351e-9,4.8488332792280384e-8,0.0008208894043247037,0.0125 mg/kg
5.99,2.0144309959548216e-8,2.079142604432994e-8,6.106324936432672e-10,1.1194731956784127e-9,5.607691797525413e-9,1.3376474329952753e-9,2.6652858243588344e-9,1.4764650390335522e-9,9.953958148279536e-9,6.367321436715693e-9,7.3126269649836225e-9,2.027476483988952e-10,3.3398809137582686e-9,5.810072332921573e-8,0.0008079665213310063,0.0125 mg/kg
