time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
0.0,3.5438541711659367e-17,3.359164135935532e-17,1.076968814329896e-18,2.0655449094302677e-18,1.0387600382063288e-17,2.4754628640263284e-18,5.018241665220014e-18,2.7161889628747685e-18,1.6272217845437234e-17,1.0615040712563683e-17,1.287727868773057e-17,3.4027118371318227e-19,5.503632636623524e-18,9.165879613043064e-17,2.2319669343132943e-13,0.4 mg/kg
0.0,3.5438541711659367e-17,3.359164135935532e-17,1.076968814329896e-18,2.0655449094302677e-18,1.0387600382063288e-17,2.4754628640263284e-18,5.018241665220014e-18,2.7161889628747685e-18,1.6272217845437234e-17,1.0615040712563683e-17,1.287727868773057e-17,3.4027118371318227e-19,5.503632636623524e-18,9.165879613043064e-17,2.2319669343132943e-13,0.4 mg/kg
0.2,7.707403287906075e-9,6.699053085953704e-9,2.273949335967524e-10,3.1362025562418434e-10,1.846489285100533e-9,4.2239151848337993e-10,3.1401376906041627e-10,5.754951829735122e-10,3.5245047204712972e-9,2.2926256909829546e-9,2.7702069374428953e-9,7.163233625728336e-11,1.1784803835949314e-9,1.8447087714626442e-8,0.04287798874394241,0.4 mg/kg
0.2,7.707403287906075e-9,6.699053085953704e-9,2.273949335967524e-10,3.1362025562418434e-10,1.846489285100533e-9,4.2239151848337993e-10,3.1401376906041627e-10,5.754951829735122e-10,3.5245047204712972e-9,2.2926256909829546e-9,2.7702069374428953e-9,7.163233625728336e-11,1.1784803835949314e-9,1.8447087714626442e-8,0.04287798874394241,0.4 mg/kg
0.99,1.8705899679608556e-6,1.7561368906318514e-6,5.608539447630511e-8,1.0132653510030716e-7,5.210059980656785e-7,1.2354151168174268e-7,1.9737378728116952e-7,1.403510454465831e-7,8.94286018642075e-7,5.603906696453893e-7,6.713339649238971e-7,1.7864043067946913e-8,2.9374913124446124e-7,4.806275995510622e-6,0.04032900629729122,0.4 mg/kg
1.99,9.963278527059202e-6,9.520108280534304e-6,2.9947326999595253e-7,5.548361606049784e-7,2.7802346441865742e-6,6.661211012282971e-7,1.2331689646634197e-6,7.412411440098045e-7,4.8824289436591124e-6,3.0157972671064216e-6,3.5710433130654275e-6,9.613323851750776e-8,1.5935250192977747e-6,2.6223055491399893e-5,0.0393279161842825,0.4 mg/kg
2.99,2.2413010985976245e-5,2.1823315896484075e-5,6.806105116005212e-7,1.2644547947057968e-6,6.231515321138371e-6,1.5075395187629287e-6,2.8834860036942207e-6,1.6684838966383018e-6,1.1156227875482143e-5,6.896252585034017e-6,8.094829573345264e-6,2.1956716447371684e-7,3.6510990658413337e-6,6.040470955563482e-5,0.03843543996880171,0.4 mg/kg
3.99,3.802210777433206e-5,3.7753116485406874e-5,1.1693923491808255e-6,2.1716885890172802e-6,1.0548087515363007e-5,2.5760887339945877e-6,4.993505856228195e-6,2.8433161125107316e-6,1.9162706371345128e-5,1.1902453812143807e-5,1.3879316847543537e-5,3.785899312835411e-7,6.296569848115626e-6,0.00010481758264607429,0.03760874520357441,0.4 mg/kg
4.99,5.597023864634862e-5,5.661862944950278e-5,1.7435767169959218e-6,3.2349596765032835e-6,1.5510352365936985e-5,3.821692194029043e-6,7.460618615868798e-6,4.210511746077756e-6,2.850925404903678e-5,1.7804211912468023e-5,2.0659747369531472e-5,5.659339800649456e-7,9.399305970243404e-6,0.00015745601705093485,0.03683032942297888,0.4 mg/kg
5.99,7.562720591491771e-5,7.781518160258823e-5,2.384329788320155e-6,4.419897488583805e-6,2.094838558547806e-5,5.203607703868808e-6,1.0202146522098348e-5,5.725141023941902e-6,3.888218510405088e-5,2.440247849592068e-5,2.8213731993270382e-5,7.753393520720911e-7,1.285032933395655e-5,0.00021654015755045693,0.036091503437756016,0.4 mg/kg
6.99,9.649841509925642e-5,0.00010081432857192687,3.0757010799369724e-6,5.6978611213261755e-6,2.672804436480384e-5,6.6882490129349136e-6,1.31502864221448e-5,7.350153588184084e-6,5.002511002930952e-5,3.152712083936226e-5,3.635355684068566e-5,1.001452961460815e-6,1.6559891523072443e-5,0.00028051667572647886,0.035386854100471175,0.4 mg/kg
7.99,0.00011819085320637963,0.00012515851145958621,3.8042669119269857e-6,7.044983934706291e-6,3.274247082794344e-5,8.247866740006961e-6,1.624922171433012e-5,9.054921967392939e-6,6.172672748168523e-5,3.903470592631883e-5,4.492144262506117e-5,1.2397507408420943e-6,2.0454573440811916e-5,0.00034805029940580053,0.03471248543322026,0.4 mg/kg
