time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
0.0,3.543892373694164e-17,3.359201005480518e-17,1.0769805417609869e-18,2.065567699680251e-18,1.0387714777178689e-17,2.4754901442850634e-18,5.018297148949502e-18,2.716218515598545e-18,1.6272393934614145e-17,1.0615155582055262e-17,1.287741820434714e-17,3.402748914882618e-19,5.5036923761169946e-18,9.165980050577355e-17,2.1304734045985255e-13,0.3mg/kg
0.0,3.543892373694164e-17,3.359201005480518e-17,1.0769805417609869e-18,2.065567699680251e-18,1.0387714777178689e-17,2.4754901442850634e-18,5.018297148949502e-18,2.716218515598545e-18,1.6272393934614145e-17,1.0615155582055262e-17,1.287741820434714e-17,3.402748914882618e-19,5.5036923761169946e-18,9.165980050577355e-17,2.1304734045985255e-13,0.3mg/kg
0.25,1.2002299839547346e-8,1.0573323101515819e-8,3.556855415217662e-10,5.131235787201849e-10,2.9584705385178672e-9,6.805650536779751e-10,5.399081448819799e-10,8.994700117481587e-10,5.505374458295481e-9,3.5754440530016807e-9,4.320860010623049e-9,1.1212758608353068e-10,1.84121781487174e-9,2.906179487922864e-8,0.029281267705415403,0.3mg/kg
0.25,1.2002299839547346e-8,1.0573323101515819e-8,3.556855415217662e-10,5.131235787201849e-10,2.9584705385178672e-9,6.805650536779751e-10,5.399081448819799e-10,8.994700117481587e-10,5.505374458295481e-9,3.5754440530016807e-9,4.320860010623049e-9,1.1212758608353068e-10,1.84121781487174e-9,2.906179487922864e-8,0.029281267705415403,0.3mg/kg
0.99,1.7986298731243612e-6,1.6881771114139468e-6,5.393293398893398e-8,9.726027137154015e-8,5.006830288878344e-7,1.1867811627187212e-7,1.881517934136185e-7,1.3499327071399602e-7,8.589065155162762e-7,5.387597904080465e-7,6.455996817453423e-7,1.717597372782893e-8,2.8235810035774403e-7,4.620206415043301e-6,0.02746168992817951,0.3mg/kg
1.99,9.984632170281436e-6,9.54214139383539e-6,3.002711821755313e-7,5.564167433348312e-7,2.7892443133834358e-6,6.681380451165694e-7,1.2360575337301281e-6,7.435527998522745e-7,4.884324261160371e-6,3.0221555530950516e-6,3.5808316254958107e-6,9.634978338186255e-8,1.5960655625690717e-6,2.6279306284576816e-5,0.02645486229987306,0.3mg/kg
2.99,2.249317774887304e-5,2.1903132281928145e-5,6.835794069555724e-7,1.270860383769086e-6,6.263796780709327e-6,1.5152402608638292e-6,2.899425220952081e-6,1.6767990292840963e-6,1.1174835392869459e-5,6.920582126791277e-6,8.130871533517386e-6,2.2036964957239864e-7,3.6614374382405687e-6,6.060808263562915e-5,0.025544544732778937,0.3mg/kg
3.99,3.785679142055274e-5,3.7585163765356805e-5,1.1655314360333121e-6,2.166746084463443e-6,1.0521162906861083e-5,2.570021223990677e-6,4.9858374690047096e-6,2.83596068090197e-6,1.904566689844889e-5,1.1849996819511292e-5,1.383405830204313e-5,3.7696436057902357e-7,6.264134817199541e-6,0.00010431128173702962,0.024698080634383324,0.3mg/kg
4.99,5.5074538292768685e-5,5.5697759259546184e-5,1.7179913481083042e-6,3.191551401172478e-6,1.529054516674268e-5,3.7696546324210455e-6,7.366490447955918e-6,4.151878156083335e-6,2.8011489779367023e-5,1.751907634730873e-5,2.035585055729426e-5,5.569272834604749e-7,9.242060205085597e-6,0.00015482723583181045,0.02390119702334671,0.3mg/kg
5.99,7.339823424001541e-5,7.549322947856514e-5,2.3179489966285426e-6,4.303123717410594e-6,2.0368202389965724e-5,5.064501264238312e-6,9.940501337523278e-6,5.569964742579049e-6,3.769569116909867e-5,2.3686070493689323e-5,2.742478486668896e-5,7.526347659316722e-7,1.2464744111139894e-5,0.00020998079121635748,0.02314615542330559,0.3mg/kg
6.99,9.226051457994032e-5,9.63458967175688e-5,2.94663664852359e-6,5.467505768249569e-6,2.5598903763195305e-5,6.415024057952843e-6,1.2627929817226243e-5,7.0467751964346755e-6,4.779892194086969e-5,3.0152016711352942e-5,3.4820272066762784e-5,9.578242949164748e-7,1.5828328175960885e-5,0.00026795953328730344,0.022427741508074264,0.3mg/kg
7.99,0.00011122930302859892,0.00011773882444354444,3.5888958436401637e-6,6.657465480371723e-6,3.086414950235169e-5,7.789816517755284e-6,1.536545624158973e-5,8.547822264864463e-6,5.808327255324706e-5,3.675629925521436e-5,4.236458457033935e-5,1.1674257211606301e-6,1.9250921556618126e-5,0.0003272747322381597,0.02174197670398927,0.3mg/kg
8.99,0.00012997642444906258,0.00013925108121028054,4.2326220093801726e-6,7.851320714725762e-6,3.6073859895752095e-5,9.164101161105035e-6,1.810321197709504e-5,1.0045925361632665e-5,6.836269969677093e-5,4.337158718374894e-5,4.991603973187727e-5,1.377395782959829e-6,2.2668772809140487e-5,0.0003867245257960497,0.021085643696143127,0.3mg/kg
9.99,0.00014825495869027653,0.00016054538907823884,4.8682745874242185e-6,9.031972195136468e-6,4.1160240919757714e-5,1.0518527003648096e-5,2.080233569064919e-5,1.1519892452425055e-5,7.849148601233262e-5,4.989793951388612e-5,5.736314903946556e-5,1.584557969628339e-6,2.6032660578706767e-5,0.0004453624885019569,0.020456067066352272,0.3mg/kg
10.99,0.00016588219213111376,0.00018135457603347783,5.488448261855976e-6,1.0186098104251494e-5,4.607308517115467e-5,1.1838182885655898e-5,2.343311010351552e-5,1.2953436587417883e-5,8.835632735792353e-5,5.625759127461062e-5,6.461955604229737e-5,1.786457054731206e-6,2.930514980147952e-5,0.0005024910009527622,0.01985098481978939,0.3mg/kg
11.99,0.00018272663093280963,0.00020147489248031577,6.087505760206962e-6,1.1303484159296488e-5,5.0776112236630176e-5,1.311178470168192e-5,2.597287933605901e-5,1.4334280732236354e-5,9.78724330181599e-5,6.23930583895007e-5,7.161986872730096e-5,1.981243710696133e-6,3.2458085741762546e-5,0.0005575455515583882,0.01926846186720092,0.3mg/kg
12.99,0.0001986971118401664,0.00022075158247274025,6.661260911570212e-6,1.237646810502519e-5,5.5244077527564035e-5,1.4331006242379725e-5,2.8405100617459687e-5,1.5653420224170762e-5,0.00010697744477780828,6.826170101733275e-5,7.831573267732591e-5,2.1675562450306476e-6,3.5471261005771995e-5,0.0006101383179653467,0.01870682654002284,0.3mg/kg
13.99,0.00021373465152586447,0.0002390778526321093,7.206713483711654e-6,1.339946955668657e-5,5.9460429856809574e-5,1.5489916586892557e-5,3.071788679491678e-5,1.69045000046296e-5,0.00011562385484401255,7.383306775283914e-5,8.467294944941935e-5,2.3444325732637278e-6,3.8329304672546013e-5,0.0006599866768182187,0.018164621649536392,0.3mg/kg
14.99,0.00022780517681247049,0.0002563752717272922,7.721821718018815e-6,1.436860696018738e-5,6.341546889978847e-5,1.658452452186063e-5,3.290337029768945e-5,1.808330964121015e-5,0.00012378333213058787,7.908750331870035e-5,9.066842353827466e-5,2.51123153667523e-6,4.1023346312916424e-5,0.000706913302877339,0.0176405674828417,0.3mg/kg
