time,pl_lung,pl_liver,pl_heart,pl_muscle,pl_skin,pl_adipose,pl_bone,pl_brain,pl_kidney,pl_si,pl_li,pl_pancreas,pl_thymus,pl_spleen,adcplasma,dose
0.0,5.569096749577335e-17,5.414789206571776e-17,1.7850856542260525e-18,3.4508990485915522e-18,1.6244369044180002e-17,4.0608473188443e-18,8.172000726237571e-18,4.4339156233697244e-18,2.6846183892364835e-17,1.7375600993255082e-17,2.108169623769454e-17,5.55669198190807e-19,8.998649780705932e-18,1.4727706988277875e-16,2.1304734045985255e-13,0.8mg/kg
0.0,5.569096749577335e-17,5.414789206571776e-17,1.7850856542260525e-18,3.4508990485915522e-18,1.6244369044180002e-17,4.0608473188443e-18,8.172000726237571e-18,4.4339156233697244e-18,2.6846183892364835e-17,1.7375600993255082e-17,2.108169623769454e-17,5.55669198190807e-19,8.998649780705932e-18,1.4727706988277875e-16,2.1304734045985255e-13,0.8mg/kg
0.99,5.396095801738275e-7,5.156072327909581e-7,1.6543921140602844e-8,2.9994431182874564e-8,1.4907356429594562e-7,3.635504726823787e-8,5.9602697066164014e-8,4.1148766436703796e-8,2.658977107536238e-7,1.6525265859927997e-7,1.9736905750588987e-7,5.262267992867725e-9,8.681397138538739e-8,1.4117594689606314e-6,0.07846874387374143,0.8mg/kg
1.0,5.539530158678865e-7,5.293424072952055e-7,1.6977361867346895e-8,3.0798446993621844e-8,1.5306985784210059e-7,3.7321468410624795e-8,6.139469407359406e-8,4.2223847215512236e-8,2.729731765415364e-7,1.6961070107404643e-7,2.0254030178151698e-7,5.401215770001483e-9,8.91165180946329e-8,1.4495335528350902e-6,0.07926856369329492,0.8mg/kg
1.0,5.539530158678865e-7,5.293424072952055e-7,1.6977361867346895e-8,3.0798446993621844e-8,1.5306985784210059e-7,3.7321468410624795e-8,6.139469407359406e-8,4.2223847215512236e-8,2.729731765415364e-7,1.6961070107404643e-7,2.0254030178151698e-7,5.401215770001483e-9,8.91165180946329e-8,1.4495335528350902e-6,0.07926856369329492,0.8mg/kg
1.99,2.0319183757158435e-6,1.965405679398015e-6,6.117747403000464e-8,1.135341867300301e-7,5.653318404601574e-7,1.3619356369183868e-7,2.598124048738392e-7,1.5097295889046559e-7,1.0027878483565508e-6,6.20212189311148e-7,7.302424148056415e-7,1.976171119288171e-8,3.283785892014369e-7,5.4352367501072545e-6,0.07623526794849655,0.8mg/kg
2.99,3.3872658875699958e-6,3.337993357618833e-6,1.020001323335204e-7,1.8881832651309342e-7,9.411555673603204e-7,2.2605834517435128e-7,4.421644242412909e-7,2.498941846615997e-7,1.6740078309213277e-6,1.0451229710432933e-6,1.2184028398335322e-6,3.327463860987422e-8,5.53291295399389e-7,9.286795593552402e-6,0.07418404906855273,0.8mg/kg
3.99,4.632477157771464e-6,4.6479486247824325e-6,1.3996458186184537e-7,2.58213664500007e-7,1.2878660521948452e-6,3.0881832484540277e-7,6.099990419050338e-7,3.4105183485987273e-7,2.2899490578060364e-6,1.4445387351742875e-6,1.6732150325839206e-6,4.597772241516179e-8,7.624717137951891e-7,1.297041335330181e-5,0.07231486970585611,0.8mg/kg
4.99,5.778439285216449e-6,5.887842126015213e-6,1.7519673044318527e-7,3.2234465057802486e-7,1.6085578262567815e-6,3.852314655244081e-7,7.651040558042156e-7,4.252174535913945e-7,2.856671917602863e-6,1.817090023322117e-6,2.0960491130574844e-6,5.7838482973102704e-8,9.556553917054868e-7,1.644833855612936e-5,0.07058404333236647,0.8mg/kg
5.99,6.834221019702055e-6,7.05295952252539e-6,2.0781325219467572e-7,3.8164417750493024e-7,1.905348128244147e-6,4.5582450145997424e-7,9.085111919176635e-7,5.029317083282377e-7,3.3789661987688884e-6,2.162675291596967e-6,2.488103725013614e-6,6.885473277553352e-8,1.1336016983872034e-6,1.9701069813767794e-5,0.06896517694888986,0.8mg/kg
6.99,7.807554496308199e-6,8.14185996805165e-6,2.379575051718583e-7,4.364925361435327e-7,2.180098281813993e-6,5.210603995292031e-7,1.041161319509588e-6,5.746793989238863e-7,3.8606714000692455e-6,2.482192973833664e-6,2.850900242553432e-6,7.905225508270604e-8,1.2974462340614316e-6,2.27246334117294e-5,0.06744204466990991,0.8mg/kg
7.99,8.705126500103577e-6,9.155324688285186e-6,2.6578507255731906e-7,4.872315483478557e-7,2.4344814974172512e-6,5.813549120931955e-7,1.1639168804643956e-6,6.409034581345559e-7,4.3050456536786875e-6,2.7770468328501906e-6,3.1861369755924147e-6,8.847201001913995e-8,1.448348004056839e-6,2.552350707197028e-5,0.06600287803471692,0.8mg/kg
8.99,9.532850623318652e-6,1.009563562117117e-5,2.9145324142107017e-7,5.341703414076038e-7,2.6700125291448882e-6,6.370838861900517e-7,1.2774619774725255e-6,7.020102898927865e-7,4.714977037151992e-6,3.048845750961188e-6,3.495571149454659e-6,9.716178331308809e-8,1.5873821254806485e-6,2.8107133424306868e-5,0.06463840621264148,0.8mg/kg
9.99,1.029603852604025e-5,1.096594098474462e-5,3.151148608584831e-7,5.775899428607419e-7,2.8880693010211007e-6,6.885887142312715e-7,1.382655430458591e-6,7.583735516856461e-7,5.093057751455383e-6,3.299226122529387e-6,3.7809438765286024e-6,1.0517106492715067e-7,1.7155024136431814e-6,3.0488792374194304e-5,0.06334100449358974,0.8mg/kg
