time_day,T_DM1_ugperml,Dose,Type
0.12293,9.66134,0.3mg/kg,T-DM1
0.25031,7.1674,0.3mg/kg,T-DM1
1,4.22606,0.3mg/kg,T-DM1
2,2.54967,0.3mg/kg,T-DM1
3,1.11527,0.3mg/kg,T-DM1
0.09615,13.02307,0.6mg/kg,T-DM1
0.2483,10.35053,0.6mg/kg,T-DM1
1,7.33393,0.6mg/kg,T-DM1
2,5.69654,0.6mg/kg,T-DM1
3,1.37138,0.6mg/kg,T-DM1
7,0.52264,0.6mg/kg,T-DM1
0.06861,20.14835,1.2mg/kg,T-DM1
0.21951,20.14835,1.2mg/kg,T-DM1
1,11.08888,1.2mg/kg,T-DM1
2,7.33393,1.2mg/kg,T-DM1
3,3.208,1.2mg/kg,T-DM1
7,0.49918,1.2mg/kg,T-DM1
0.26266,74.61359,2.4mg/kg,T-DM1
1,55.35313,2.4mg/kg,T-DM1
2,45.01597,2.4mg/kg,T-DM1
3,33.39572,2.4mg/kg,T-DM1
7,17.15592,2.4mg/kg,T-DM1
10,10.35053,2.4mg/kg,T-DM1
14,3.68201,2.4mg/kg,T-DM1
17,2.02644,2.4mg/kg,T-DM1
21,0.40596,2.4mg/kg,T-DM1
0.11176,74.61359,3.6mg/kg,T-DM1
0.26329,66.51853,3.6mg/kg,T-DM1
1,48.22717,3.6mg/kg,T-DM1
2,34.96559,3.6mg/kg,T-DM1
3,27.15909,3.6mg/kg,T-DM1
7,13.95206,3.6mg/kg,T-DM1
10,9.44196,3.6mg/kg,T-DM1
17,2.27305,3.6mg/kg,T-DM1
21,0.77229,3.6mg/kg,T-DM1
0.13403,126.54482,4.8mg/kg,T-DM1
0.2853,118.11885,4.8mg/kg,T-DM1
1,89.66407,4.8mg/kg,T-DM1
2,78.12105,4.8mg/kg,T-DM1
3,65.00812,4.8mg/kg,T-DM1
7,29.09648,4.8mg/kg,T-DM1
14,12.43836,4.8mg/kg,T-DM1
17,7.1674,4.8mg/kg,T-DM1
21,3.3588,4.8mg/kg,T-DM1
