time_hr,adc_plasma_uM,pl_liver_uM,dose_mgkg
0.0,2.2218774417326923e-13,4.1313646445171666e-17,1.2
0.0,2.2218774417326923e-13,4.1313646445171666e-17,1.2
0.24,0.061128660261731284,4.324403044442964e-6,1.2
0.49,0.12217935783150895,1.8515297632172483e-5,1.2
0.5,0.12460986000015806,1.9283987308368685e-5,1.2
0.5,0.12460986000015806,1.9283987308368685e-5,1.2
0.74,0.12134400786867747,3.8267232564595875e-5,1.2
0.99,0.12020273878142426,5.8160567045595326e-5,1.2
1.24,0.11915560857812867,7.827922568859188e-5,1.2
1.49,0.11815635707740617,9.843639189430048e-5,1.2
1.74,0.11719746526254002,0.00011849852485590523,1.2
1.99,0.11627369874189256,0.00013838839311724725,1.2
2.24,0.11538068225228575,0.00015806031815430305,1.2
2.49,0.1145148168293597,0.00017748544662831085,1.2
2.74,0.11367317154616823,0.00019664433023907813,1.2
2.99,0.11285335784925855,0.0002155231646159484,1.2
3.24,0.11205341448773679,0.00023411188381105484,1.2
3.49,0.11127171194313276,0.00025240303907704434,1.2
3.74,0.11050687752516046,0.00027039112482675937,1.2
3.99,0.10975773845387998,0.0002880720506248525,1.2
4.24,0.10902327744507288,0.000305442938126775,1.2
4.49,0.10830260009452003,0.0003225018903909492,1.2
4.74,0.10759491199983973,0.00033924790150709026,1.2
4.99,0.10689949968518712,0.0003556806587245512,1.2
5.24,0.1062157157278534,0.0003718004853169525,1.2
5.49,0.10554296864588641,0.0003876082286734634,1.2
5.74,0.10488071570105922,0.00040310522117904726,1.2
5.99,0.10422845634650692,0.0004182932942052268,1.2
6.24,0.10358572681042319,0.0004331746939047982,1.2
6.49,0.1029520959580676,0.00044775202142972306,1.2
6.74,0.10232716214641414,0.00046202819104360955,1.2
6.99,0.10171055052187006,0.0004760063807934376,1.2
7.24,0.1011019113961066,0.0004896900524697551,1.2
7.49,0.1005009169906714,0.0005030828869272105,1.2
7.74,0.09990726150925575,0.0005161887937600613,1.2
7.99,0.0993206575923054,0.000529011833876932,1.2
8.24,0.09874083616403938,0.0005415562246491927,1.2
8.49,0.09816754386298128,0.0005538263149246598,1.2
8.74,0.09760054405456012,0.0005658265661449273,1.2
8.99,0.09703961460472361,0.0005775615004307093,1.2
9.24,0.09648454592987585,0.0005890357627744103,1.2
9.49,0.09593514219650519,0.0006002540315488127,1.2
9.74,0.09539121980174162,0.000611221068190095,1.2
9.99,0.09485260463393222,0.0006219416197608706,1.2
10.24,0.09431913464830775,0.000632420493111483,1.2
10.49,0.09379065653600717,0.0006426624625407258,1.2
10.74,0.0932670258032361,0.0006526723176261936,1.2
10.99,0.0927481074648313,0.0006624548296750245,1.2
