time_hr,adc_plasma_uM,pl_liver_uM,dose_mgkg
0.0,1.9463708384641786e-13,1.8333231796176656e-17,0.01
0.0,1.9463708384641786e-13,1.8333231796176656e-17,0.01
0.1,0.0005621144511305366,5.937506256964815e-10,0.01
0.1,0.0005621144511305366,5.937506256964815e-10,0.01
0.24,0.00018624550142040536,9.733186248106348e-9,0.01
0.49,0.00015015590389750227,4.91572906934671e-8,0.01
0.74,0.00014645868420690476,1.161622734195837e-7,0.01
0.99,0.00014368206659907845,1.9173210931679489e-7,0.01
1.24,0.0001410141887039466,2.5907883847962175e-7,0.01
1.49,0.00013841520492101196,3.139649391831698e-7,0.01
1.74,0.0001358800710772648,3.5820741110199966e-7,0.01
1.99,0.00013340604344159855,3.945436820133088e-7,0.01
2.24,0.00013099072207521276,4.250517772408021e-7,0.01
2.49,0.00012863189403658005,4.5105896053694425e-7,0.01
2.74,0.00012632749905011766,4.733824480258176e-7,0.01
2.99,0.00012407560858738607,4.925460461827474e-7,0.01
3.24,0.00012187440984276936,5.089160817184223e-7,0.01
3.49,0.00011972219290922851,5.227756166992864e-7,0.01
3.74,0.00011761734050963276,5.34361633858168e-7,0.01
3.99,0.00011555831945092456,5.438834769974071e-7,0.01
4.24,0.00011354367334545793,5.515314138559463e-7,0.01
4.49,0.00011157201677381833,5.574803104494446e-7,0.01
4.74,0.00010964202969429332,5.618920087763556e-7,0.01
4.99,0.00010775245335864921,5.649163087459676e-7,0.01
5.24,0.000105902085529282,5.666917310923363e-7,0.01
5.49,0.00010408977731962442,5.673460510662005e-7,0.01
5.74,0.00010231442977990075,5.669969167560834e-7,0.01
5.99,0.00010057499087483339,5.657523790047873e-7,0.01
6.24,9.88704527347106e-5,5.637114568131988e-7,0.01
6.49,9.719984900240728e-5,5.609647351465183e-7,0.01
6.74,9.556225299545516e-5,5.575947700758012e-7,0.01
6.99,9.395677503607723e-5,5.536767024167447e-7,0.01
7.24,9.238256053365137e-5,5.492789280893286e-7,0.01
7.49,9.083878773259858e-5,5.444634665526362e-7,0.01
7.74,8.932466714234807e-5,5.3928639580958e-7,0.01
7.99,8.783943914597173e-5,5.337983472272454e-7,0.01
8.24,8.63823721545397e-5,5.280450422012902e-7,0.01
8.49,8.495276134319577e-5,5.220676735068043e-7,0.01
8.74,8.354992759693786e-5,5.159032280831451e-7,0.01
8.99,8.217321778734553e-5,5.095846378855709e-7,0.01
9.24,8.082199846980945e-5,5.031419182779411e-7,0.01
9.49,7.949566191262506e-5,4.96601282856185e-7,0.01
9.74,7.819361882896371e-5,4.899866389548941e-7,0.01
9.99,7.691530103292522e-5,4.833189381137053e-7,0.01
10.24,7.566016003357366e-5,4.7661685865922083e-7,0.01
10.49,7.442766322299844e-5,4.6989708349253563e-7,0.01
10.74,7.321729897121945e-5,4.6317403700663366e-7,0.01
10.99,7.202856770713642e-5,4.5646082539774653e-7,0.01
11.24,7.086099071920845e-5,4.497685875193874e-7,0.01
11.49,6.971409950526257e-5,4.4310742063622097e-7,0.01
11.74,6.858744435967999e-5,4.3648585441887305e-7,0.01
11.99,6.748058598193675e-5,4.2991148470848266e-7,0.01
12.24,6.639310221733843e-5,4.2339063184600554e-7,0.01
12.49,6.532457728384921e-5,4.169292386226904e-7,0.01
12.74,6.427461711764231e-5,4.1053171377158733e-7,0.01
12.99,6.324282635920788e-5,4.0420255813437425e-7,0.01
13.24,6.222883608323844e-5,3.9794482124103015e-7,0.01
13.49,6.123227597014496e-5,3.9176156255658224e-7,0.01
13.74,6.025278885778727e-5,3.8565519984472836e-7,0.01
13.99,5.929003544291798e-5,3.796272647635296e-7,0.01
14.24,5.8343670180402696e-5,3.7367966110166707e-7,0.01
14.49,5.7413375243132784e-5,3.6781316671902393e-7,0.01
14.74,5.6498825157566794e-5,3.6202881197540454e-7,0.01
14.99,5.559971400536863e-5,3.563270270628229e-7,0.01
15.24,5.471573992458354e-5,3.5070813407553406e-7,0.01
15.49,5.384660511823189e-5,3.451723196561229e-7,0.01
15.74,5.299202966026915e-5,3.3971926349506757e-7,0.01
15.99,5.215172730992001e-5,3.343489219711334e-7,0.01
16.24,5.1325432791261285e-5,3.2906070766568296e-7,0.01
16.49,5.0512878666774e-5,3.238541655931693e-7,0.01
16.74,4.9713798681262446e-5,3.187288367191257e-7,0.01
