time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,Dose
-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
-0.009999999999810603,6.003706090537562e-40,9.448907725796154e-40,4.867965487963883e-41,1.0648903698832016e-40,1.5721935373781825e-40,9.425281349411207e-41,1.6879420507238991e-40,9.515507599600598e-41,6.808398025298294e-40,3.894372390371106e-40,4.736177964785004e-40,1.1997813929931185e-41,1.9812903737501038e-40,2.4326041697210347e-39,2.44287073618615e-40,8.514577627693097e-42,4.569628665653012e-42,4.6027419168533964e-42,2.070174949566347e-43,8.355770354895697e-64,4.680715342974143e-50,7.695512233495054e-58,5.107527378580626e-37,1.8
-0.009999998105845547,6.004266906467835e-32,9.449790363593659e-32,4.868420212528738e-33,1.0649898430225265e-32,1.5723403985302508e-32,9.426161780253397e-33,1.6880997241325545e-32,9.516396458623358e-33,6.809034008806697e-32,3.894736170019213e-32,4.7366203788574877e-32,1.1998934665223601e-33,1.9814754493019305e-32,2.432831403212098e-31,2.4430989287090104e-32,8.515372988223278e-34,4.570055522091185e-34,4.603171866454163e-34,2.0703683279719327e-35,8.356604958616256e-48,4.681182870114802e-38,7.727081666436835e-46,5.108037544732584e-29,1.8
-0.009999979166194991,4.662737613545678e-30,7.338430095560658e-30,3.7806723780475144e-31,8.27039882886622e-31,1.2210334470108025e-30,7.32008083071247e-31,1.3109287448073627e-30,7.390154435940015e-31,5.28769614664084e-30,3.0245379024182942e-30,3.6783204920222014e-30,9.318020810547888e-32,1.5387557301767402e-30,1.8892655285883818e-29,1.8972389878770516e-30,6.612788962324746e-32,3.5489711085460396e-32,3.5746882904920217e-32,1.607787333108702e-33,2.912089033625806e-44,2.4438877815960097e-35,4.125311742964501e-43,3.966899117069285e-27,1.8
-0.00999989675805227,9.652527732028631e-29,1.5191590408094843e-28,7.826527675518504e-30,1.7120897779269644e-29,2.527712298264067e-29,1.5153604829949606e-29,2.713808305994501e-29,1.529866712463991e-29,1.094628047382639e-28,6.261222140238543e-29,7.614644764413435e-29,1.9289623765982846e-30,3.185442456718828e-29,3.9110474183162634e-28,3.9275536097038287e-29,1.3689410414572407e-30,7.3468732075307735e-31,7.400111419179524e-31,3.328347659011019e-32,1.1315344083971074e-41,2.1850224045726517e-33,4.009472528864243e-41,8.213229185166397e-26,1.8
-0.00999969175644301,8.150821939855435e-28,1.2828137026014035e-27,6.608904451375731e-29,1.4457289648131066e-28,2.134459846325679e-28,1.2796061109921844e-28,2.29160370178973e-28,1.2918555130876538e-28,9.24329725040419e-28,5.287123560709625e-28,6.429985526495817e-28,1.6288612991399142e-29,2.6898626957187337e-28,3.302580627808038e-27,3.3165188458605274e-28,1.1559660832614573e-29,6.203872912519196e-30,6.248828513334504e-30,2.8105352170814295e-31,6.38154001185269e-40,4.847966881699639e-32,1.0322831016798793e-39,6.93756383767671e-25,1.8
-0.009999285510206181,4.304876531390219e-27,6.775211926795217e-27,3.490509041260084e-28,7.635652867957447e-28,1.1273201854291794e-27,6.758270954712225e-28,1.2103160968202655e-27,6.822966471310129e-28,4.881870037005298e-27,2.7924072325688655e-27,3.39601257336995e-27,8.602870768503846e-29,1.4206575579794995e-27,1.7442660306177837e-26,1.751627535486923e-27,6.105263126044801e-29,3.27659064396107e-29,3.3003340544245046e-29,1.4843910451870394e-30,1.47607155167965e-38,5.448911084879284e-31,1.4399549906876564e-38,3.6661281328534024e-24,1.8
-0.009998532175663537,1.8049101928288666e-26,2.8406503587782156e-26,1.4634694636016944e-27,3.2014083546391156e-27,4.726527413327696e-27,2.8335475003377235e-27,5.074505259750738e-27,2.860672458860367e-27,2.0468268776801184e-26,1.1707755705211881e-26,1.4238498280492483e-26,3.6069348397034224e-28,5.956406156307506e-27,7.313202857656458e-26,7.344067525011631e-27,2.5597602088298315e-28,1.3737796681146211e-28,1.3837345932458444e-28,6.223622231149605e-30,2.316380425805352e-37,4.472379664776559e-30,1.5891586433290688e-37,1.5386416571342463e-23,1.8
-0.00999703098062443,7.354460022919082e-26,1.1574786146853294e-25,5.9631929128162975e-27,1.3044765254918124e-26,1.925916151422683e-26,1.1545844168054595e-26,2.067706539175904e-26,1.1656370123276213e-26,8.340196927501974e-26,4.770554327327508e-26,5.80175494704611e-26,1.4697162331547772e-27,2.4270543291673684e-26,2.9799077085077153e-25,2.9924841274740727e-26,1.0430244235357342e-27,5.597734277854347e-28,5.63829756972252e-28,2.535936752046333e-29,3.742411285777856e-36,3.6394790954078125e-29,1.9778881298574886e-36,6.282246281650783e-23,1.8
-0.009993944570106024,3.043869193185313e-25,4.7905807955477625e-25,2.4680505655751947e-26,5.398976811989689e-26,7.970995597993601e-26,4.778602276196388e-26,8.557838672873653e-26,4.824346837912208e-26,3.451846690279014e-25,1.9744404499913774e-25,2.401234502448215e-25,6.082872101832363e-27,1.0045109886073509e-25,1.2333263370964238e-24,1.2385314794550158e-25,4.31687697554911e-27,2.3167942834525384e-27,2.333582647825098e-27,1.0495753243646442e-28,6.475631370462958e-35,3.0831337974451125e-28,2.893955523598259e-35,2.6110878425455955e-22,1.8
