time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,Dose
-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
-0.009999999999810603,6.3516759944044846e-37,9.996558703943148e-37,5.150108793670717e-38,1.126610546395761e-37,1.6633165913405521e-37,9.9715629620715e-38,1.7857737940281993e-37,1.0067018652065443e-37,7.203007216791577e-37,4.120087034936388e-37,5.010682973233179e-37,1.2693197430865263e-38,2.096124346381368e-37,2.5735959215348855e-36,2.584457529811923e-37,9.008075596097933e-39,4.8344806126867306e-39,4.8695130808946053e-39,2.190160599650834e-40,2.9940085400637795e-63,1.67717650381107e-49,8.141534587486265e-55,1.8301102041561375e-36,8.0
-0.009999998105845547,6.35226775406626e-29,9.997490037875879e-29,5.1505886119756655e-30,1.1267155088232653e-29,1.6634715567121042e-29,9.972491978437384e-30,1.785940168280493e-29,1.0067956561699032e-29,7.203678290736277e-29,4.1204708877310544e-29,5.011149798899004e-29,1.2694380013967537e-30,2.0963196348201235e-29,2.5738356867247245e-28,2.584698314356753e-29,9.008914848663455e-31,4.83493102525712e-31,4.8699667573239865e-31,2.190364649683325e-32,2.9942995692164784e-47,1.677339532121346e-37,8.142403648920581e-43,1.8302881009068313e-28,8.0
-0.009999979166194991,4.9329779309071815e-27,7.763746665380186e-27,3.9997904753702298e-28,8.74972997882429e-28,1.2918014200692796e-27,7.7443339824528225e-28,1.386906819075539e-27,7.818468874447936e-28,5.594157454281691e-27,3.1998323706410575e-27,3.891506521310115e-27,9.85806945764989e-29,1.6279380728920767e-27,1.998762482408735e-26,2.0071981016284307e-27,6.996049292741509e-29,3.7546603946121377e-29,3.781868078629959e-29,1.7009705737751573e-30,1.043430263044732e-43,8.756691135257507e-35,4.25103997909782e-40,1.421378926369883e-26,8.0
-0.009999896758043329,1.021190929642488e-25,1.6071970532841709e-25,8.280089384830371e-27,1.811308533305774e-26,2.674197875457857e-26,1.603178414211467e-26,2.871078487875877e-26,1.6185253063423407e-26,1.1580637330656932e-25,6.624071421553248e-26,8.0559273377416e-26,2.0407493057903327e-27,3.370044701172736e-26,4.137699451014919e-25,4.1551625519793576e-26,1.4482737010763595e-27,7.772638069119707e-28,7.828961533378778e-28,3.5212315491552454e-29,4.0541584583183656e-41,7.828684666431222e-33,3.8013379911606815e-38,2.942705352381593e-25,8.0
-0.009999691756425027,8.623076365202832e-25,1.357139220992646e-24,6.991821358157977e-26,1.5294938321611604e-25,2.2581294508227985e-25,1.3537458987075498e-25,2.4243781449113574e-25,1.3667050253854912e-25,9.778849053730661e-25,5.593456895084358e-25,6.802535662738031e-25,1.7232367855314032e-26,2.845712069694668e-25,3.493929806879402e-24,3.5086763649296258e-25,1.2229422353211118e-26,6.56332250586285e-27,6.61088281385436e-27,2.973376358924422e-28,2.2861644533692034e-39,1.736762699207486e-31,8.436716217027395e-37,2.4853347052560315e-24,8.0
-0.009999285510182246,4.554202465965665e-24,7.167611979878932e-24,3.692669612431411e-25,8.077888535972933e-25,1.192611406155247e-24,7.149691133755806e-25,1.2804142046032377e-24,7.218133632603598e-25,5.1646136695316666e-24,2.9541354748870476e-24,3.592699846609596e-24,9.101125176708924e-26,1.502938042811719e-24,1.845288127840574e-23,1.8530768510884112e-24,6.458863033438526e-26,3.466361689393456e-26,3.491480252335376e-26,1.5703628603663622e-27,5.286921389624122e-38,1.9516407027288596e-30,9.487588742685212e-36,1.3130632547649129e-23,8.0
-0.00999853217564473,1.9093725286909995e-23,3.0050575375430807e-23,1.5481706758842205e-24,3.386696162775194e-24,5.000084382296488e-24,2.9975446529613463e-24,5.368202097625192e-24,3.026239520841903e-24,2.165290492364907e-23,1.238536364357863e-23,1.5062577080782888e-23,3.815693441472383e-25,6.3011446426360756e-24,7.736461360356604e-23,7.769119438031957e-24,2.707911478534583e-25,1.4532899314363933e-25,1.4638210178758235e-25,6.583826906143242e-27,8.293801657170804e-37,1.6012832744523012e-29,7.794654304134606e-35,5.508528406130208e-23,8.0
-0.00999703098076045,7.779508960296431e-23,1.2243744133247766e-22,6.3078368533182415e-24,1.379868943824566e-23,2.0372246811458136e-23,1.2213138104386885e-23,2.187209838465535e-23,1.2330051915870561e-23,8.822215660500907e-23,5.046268050373266e-23,6.137066380161417e-23,1.5546588275103042e-24,2.5673261061182496e-23,3.1521258317031493e-22,3.16543483825031e-23,1.1033062678857742e-24,5.921256679713844e-25,5.96416433664872e-25,2.682501837616458e-26,1.338993591820313e-35,1.3020800967445458e-28,6.35547834510037e-34,2.247234769175347e-22,8.0
-0.009993944568107975,3.2192715111471374e-22,5.066634041969625e-22,2.610273897236737e-23,5.710096486742776e-23,8.430328862720674e-23,5.0539725553231227e-23,9.050988934122368e-23,5.102353171416781e-23,3.65075812734619e-22,2.0882179093903273e-22,2.5396056778555906e-22,6.433402733340247e-24,1.0623964458415419e-22,1.3043924563677536e-21,1.3099023841862793e-22,4.5656406764741055e-24,2.450301537471542e-24,2.4680573455753032e-24,1.1100580091912292e-25,2.313370488778845e-34,1.101285588017625e-27,5.406141689355604e-33,9.32394978869492e-22,8.0
-0.0099908581554555,7.30943722947103e-22,1.1503917713186965e-21,5.926695063722359e-23,1.296492269540227e-22,1.9141280427280352e-22,1.1475176329852894e-22,2.0550505057310476e-22,1.1585025771565233e-22,8.289138016433975e-22,4.741352176001134e-22,5.766239310081857e-22,1.4607209320949112e-23,2.412198627530768e-22,2.961652199127018e-21,2.9741671704374295e-22,1.0366406701470025e-23,5.5634738142482976e-24,5.603788841442731e-24,2.5204157899969553e-25,9.899890164139926e-34,3.5372117348975194e-27,1.7428341359471503e-32,2.1215379620844494e-21,8.0
-0.009987771742803023,1.3031177820454238e-21,2.0509042927740573e-21,1.0566045520656006e-22,2.3113717926277483e-22,3.4124857628453388e-22,2.0457815083103618e-22,3.663720702324072e-22,2.0653653417453925e-22,1.4777775923868562e-21,8.4528275320014835e-22,1.027998380460376e-21,2.6041569684267194e-23,4.300440231167582e-22,5.279991703971771e-21,5.3023111790745955e-22,1.8481114168042625e-23,9.918499049025067e-24,9.990372229519344e-24,4.4933691656887425e-25,2.818178534754654e-33,8.122690639959087e-27,4.016387301359949e-32,3.790128592232431e-21,8.0
