time_hr,lung,liver,heart,muscle,skin,adipose,bone,brain,kidney,sm_int,la_int,pancreas,thymus,spleen,other,marrow,choroid,icb,retina,cornea,ah,vh,plasma,ln,Dose
-0.01,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,1.0e-12,0.0,0.0,1.0e-12,0.0,0.0,8.0
-0.009999999999810603,9.999999999998277e-13,9.999999999999725e-13,9.99999999999955e-13,9.999999999999976e-13,9.99999999999997e-13,9.999999999999986e-13,9.999999999999996e-13,9.999999999999753e-13,9.999999999998061e-13,9.999999999999511e-13,9.999999999999616e-13,9.99999999999955e-13,9.999999999999142e-13,9.999999999999646e-13,9.999999999999998e-13,9.999999999999921e-13,9.999999999993018e-13,9.999999999995735e-13,9.999999999999986e-13,2.5108974039218248e-42,2.5843458661704857e-26,9.999999999999978e-13,1.0995421069535385e-23,4.406062043076769e-25,8.0
-0.009999998105845547,9.999999982771425e-13,9.999999997257795e-13,9.999999995486635e-13,9.999999999756795e-13,9.999999999706379e-13,9.999999999860569e-13,9.99999999996626e-13,9.999999997540085e-13,9.999999980616181e-13,9.999999995112122e-13,9.99999999616389e-13,9.999999995497805e-13,9.99999999141201e-13,9.999999996474262e-13,9.99999999997094e-13,9.999999999213009e-13,9.999999930180009e-13,9.999999957340347e-13,9.999999999854017e-13,2.5111485157339024e-34,2.5846042976334794e-22,9.999999999783497e-13,1.0996519418810859e-19,4.406502620335537e-21,8.0
-0.009999979166194991,9.999999810502417e-13,9.999999969838456e-13,9.999999950357482e-13,9.999999997324983e-13,9.999999996770473e-13,9.999999998466402e-13,9.999999999628895e-13,9.999999972943395e-13,9.999999786797353e-13,9.999999946238208e-13,9.999999957806603e-13,9.99999995048036e-13,9.999999905540667e-13,9.99999996122032e-13,9.999999999680338e-13,9.99999999134389e-13,9.99999923204994e-13,9.999999530786493e-13,9.999999998394328e-13,1.950157921302176e-32,2.842806271973257e-21,9.999999997618695e-13,1.2095063863196149e-18,4.846712083194462e-20,8.0
-0.009999896758043329,9.999999060935196e-13,9.999999850533724e-13,9.999999753996379e-13,9.99999998674387e-13,9.999999983995965e-13,9.99999999240019e-13,9.999999998160864e-13,9.999999865920883e-13,9.999998943473491e-13,9.99999973358307e-13,9.999999790910206e-13,9.999999754605334e-13,9.999999531906478e-13,9.999999807825438e-13,9.999999998415727e-13,9.999999957104625e-13,9.999996194422754e-13,9.999997674811888e-13,9.999999992043086e-13,4.037698092670297e-31,1.4087531003249646e-20,9.999999988199444e-13,5.993696363420657e-18,2.4017886551599087e-19,8.0
-0.009999691756425027,9.99999719622215e-13,9.999999553742136e-13,9.99999926552089e-13,9.999999960421362e-13,9.999999952216843e-13,9.999999977309186e-13,9.999999994508098e-13,9.999999599687194e-13,9.99999684558642e-13,9.999999204572276e-13,9.999999375730134e-13,9.999999267339216e-13,9.999998602439128e-13,9.999999426222571e-13,9.999999995268628e-13,9.999999871929698e-13,9.999988637911125e-13,9.999993057821189e-13,9.999999976243496e-13,3.4105892363008185e-30,4.206032869965167e-20,9.999999964767762e-13,1.7894929284211542e-17,7.170879774387801e-19,8.0
-0.009999285510182246,9.999993500711024e-13,9.999998965578536e-13,9.9999982975211e-13,9.999999908256536e-13,9.999999889237733e-13,9.999999947401782e-13,9.999999987265997e-13,9.99999907209703e-13,9.999992688246932e-13,9.999998156237695e-13,9.999998552969055e-13,9.999998301736774e-13,9.999996760534644e-13,9.999998669959767e-13,9.999999989027019e-13,9.999999703140642e-13,9.999973663390432e-13,9.999983908460315e-13,9.999999944933865e-13,1.802331647550691e-29,9.749326528096526e-20,9.999999918333827e-13,4.1478868065017906e-17,1.6621650551160155e-18,8.0
-0.00999853217564473,9.999986646920622e-13,9.999997874831093e-13,9.99999650247917e-13,9.999999811515364e-13,9.999999772439055e-13,9.999999891935206e-13,9.999999973824013e-13,9.999998093737947e-13,9.99998497891693e-13,9.999996212199257e-13,9.99999702722345e-13,9.999996511143078e-13,9.999993344931555e-13,9.999997267383538e-13,9.999999977434791e-13,9.999999390141129e-13,9.999945895012067e-13,9.99996694209986e-13,9.999999886873927e-13,7.564374886413958e-29,2.0028690389365112e-19,9.99999983222773e-13,8.521093522704471e-17,3.41469270649447e-18,8.0
-0.00999703098076045,9.99997298561897e-13,9.999995700994264e-13,9.999992925425604e-13,9.999999618705745e-13,9.999999539645763e-13,9.99999978137833e-13,9.99999994698977e-13,9.99999614410231e-13,9.999969616079954e-13,9.99999233813337e-13,9.999993986683808e-13,9.999992942963382e-13,9.999986538487476e-13,9.999994471731955e-13,9.999999954265174e-13,9.999998766414132e-13,9.999890560267024e-13,9.9999331327562e-13,9.999999771175886e-13,3.088645894989375e-28,4.051270574641431e-19,9.999999660641318e-13,1.7235129535028786e-16,6.906999418852006e-18,8.0
-0.009993944568107975,9.999944883737314e-13,9.99999123053051e-13,9.999985571047053e-13,9.99999922216862e-13,9.999999060843225e-13,9.999999553964923e-13,9.99999989161934e-13,9.99999213559616e-13,9.99993802956806e-13,9.99998437264858e-13,9.999987734848714e-13,9.999985606865414e-13,9.99997254436487e-13,9.9999887210666e-13,9.999999906339652e-13,9.999997484039492e-13,9.999776794599582e-13,9.999863622110377e-13,9.999999533303838e-13,1.283847201142423e-27,8.2627166323982185e-19,9.999999307865031e-13,3.5148267178427114e-16,1.4087022465110884e-17,8.0
-0.0099908581554555,9.999916762280062e-13,9.999986758564268e-13,9.99997821658034e-13,9.99999882546218e-13,9.999998581790663e-13,9.99999932640165e-13,9.99999983598062e-13,9.999988126938475e-13,9.999906441573374e-13,9.999976406421458e-13,9.999981482230223e-13,9.999978270722243e-13,9.999958549835207e-13,9.99998296652148e-13,9.999999858025858e-13,9.999996201650927e-13,9.999663030184755e-13,9.999794111966029e-13,9.999999295431416e-13,2.9255210731417243e-27,1.2474151902027627e-18,9.999998955089211e-13,5.305762132783536e-16,2.1266968642691318e-17,8.0
-0.009987771742803023,9.99988862143404e-13,9.999982285099925e-13,9.999970862017349e-13,9.999998428587136e-13,9.99999810248909e-13,9.999999098689137e-13,9.999999780074786e-13,9.999984118128929e-13,9.999874851840536e-13,9.999968439388775e-13,9.999975228813899e-13,9.999970934517577e-13,9.999944554841806e-13,9.999977208104474e-13,9.999999809325502e-13,9.999994919248198e-13,9.999549266994745e-13,9.999724602322381e-13,9.999999057558605e-13,5.233952215029348e-27,1.6685575227089291e-18,9.999998602313856e-13,7.096290769940839e-16,2.844683793802112e-17,8.0
-0.009980894919283403,9.999825852303077e-13,9.99997231243104e-13,9.999954474951929e-13,9.999997543709357e-13,9.999997033669805e-13,9.999998590790874e-13,9.999999654557685e-13,9.999975185568707e-13,9.999804459157123e-13,9.999950684813242e-13,9.999961292650008e-13,9.999954588433608e-13,9.99991337065672e-13,9.999964363923306e-13,9.99999969943652e-13,9.999992061879575e-13,9.99929579593519e-13,9.999569729963038e-13,9.999998527553666e-13,1.2775266418757654e-26,2.606898076681788e-18,9.999997816298193e-13,1.108413275796498e-15,4.444399907752719e-17,8.0
-0.009974018095763783,9.999762989926495e-13,9.9999623323975e-13,9.999938087279963e-13,9.999996658006213e-13,9.999995963631116e-13,9.999998082162066e-13,9.999999527733928e-13,9.999966252249794e-13,9.999734053834778e-13,9.999932925247007e-13,9.999947352299847e-13,9.999938241785602e-13,9.999882183273138e-13,9.999951500655236e-13,9.999999587656662e-13,9.999989204436906e-13,9.99904233051599e-13,9.999414860076363e-13,9.999997997546544e-13,2.3626757685610729e-26,3.545230861811258e-18,9.999997030284841e-13,1.5069507487707455e-15,6.04407784316448e-17,8.0
-0.009967141272244164,9.999700036336556e-13,9.999952345048752e-13,9.999921698915203e-13,9.99999577148569e-13,9.999994892384516e-13,9.99999757280979e-13,9.999999399616798e-13,9.999957318169129e-13,9.999663633211417e-13,9.999915160032379e-13,9.999933407614003e-13,9.999921894399822e-13,9.999850992091578e-13,9.999938618394152e-13,9.999999474005215e-13,9.999986346917689e-13,9.998788870443555e-13,9.999259992653532e-13,9.999997467537073e-13,3.778841159708209e-26,4.483554640723949e-18,9.9999962442738e-13,1.9052116480987972e-15,7.643717593601564e-17,8.0
-0.009954845295663352,9.999587252568351e-13,9.999934469283513e-13,9.999892394000216e-13,9.999994184348123e-13,9.999992973989077e-13,9.999996660291986e-13,9.999999167359296e-13,9.999941341844194e-13,9.99953767236456e-13,9.999883379113496e-13,9.999908462798943e-13,9.999892662362628e-13,9.999795209895074e-13,9.9999155374813e-13,9.99999926619134e-13,9.99998123738466e-13,9.99833568826089e-13,9.998983090947047e-13,9.999996519857082e-13,7.13604993798319e-26,6.161280607598701e-18,9.999994838867114e-13,2.6165303071946918e-15,1.0503828543387963e-16,8.0
-0.009923552501888738,9.999299012036971e-13,9.999888873260556e-13,9.999817799732245e-13,9.999990133786274e-13,9.999988074946387e-13,9.99999432791721e-13,9.99999855833525e-13,9.99990067158483e-13,9.999216755564464e-13,9.999802384256515e-13,9.999844909374e-13,9.999818248441302e-13,9.999653161393151e-13,9.999856528817894e-13,9.999998711359588e-13,9.999968232585206e-13,9.997182419309716e-13,9.998278421692043e-13,9.999994108004991e-13,2.0453554976518983e-25,1.0430836107520239e-17,9.999991262193762e-13,4.42133622867561e-15,1.778215135337886e-16,8.0
-0.009892259708114123,9.999009171582457e-13,9.999843133000188e-13,9.9997431792004e-13,9.999986067498223e-13,9.9999831526202e-13,9.99999198162456e-13,9.99999792451771e-13,9.999859985213944e-13,9.998895171483564e-13,9.999721186198728e-13,9.999781246649788e-13,9.99974379511187e-13,9.999510952503312e-13,9.99979714182699e-13,9.999998120659362e-13,9.99995522585213e-13,9.996029221662506e-13,9.997573802218964e-13,9.999991696080738e-13,4.0624597796563903e-25,1.4700031506736487e-17,9.999987685568257e-13,6.216408525098321e-15,2.5059682561947925e-16,8.0
-0.00986096691433951,9.998717889889185e-13,9.999797252615694e-13,9.999668526077794e-13,9.999981986183725e-13,9.999978208020923e-13,9.999989622034242e-13,9.99999726706363e-13,9.999819282608732e-13,9.998572745319185e-13,9.999639742156484e-13,9.999717465004402e-13,9.999669289482699e-13,9.999368540559213e-13,9.999737385765263e-13,9.999997495769925e-13,9.999942216998752e-13,9.994876075157615e-13,9.99686923186063e-13,9.99998928407157e-13,6.764854299327182e-25,1.8968772878955558e-17,9.999984108990597e-13,7.999695928557644e-15,3.233642165349102e-16,8.0
-0.009829674120564895,9.998425309220705e-13,9.999751235924675e-13,9.999593834901656e-13,9.999977890507976e-13,9.999973242110543e-13,9.999987249735816e-13,9.999996587069964e-13,9.999778563717845e-13,9.998249336599759e-13,9.999558017983618e-13,9.999653556834705e-13,9.9995947203441e-13,9.99922588941687e-13,9.999677269894874e-13,9.999996838283183e-13,9.999929205862195e-13,9.993722963101457e-13,9.99616471003038e-13,9.999986871966192e-13,1.0152459817686348e-24,2.3236977410599625e-17,9.999980532460775e-13,9.769497471387656e-15,3.961236815428086e-16,8.0
-0.009775043570221142,9.997911782666647e-13,9.999670584301984e-13,9.999463335358317e-13,9.999970707774131e-13,9.999964524311843e-13,9.99998307940175e-13,9.999995348987972e-13,9.999707438252602e-13,9.997682069212125e-13,9.999414599195803e-13,9.999541667344577e-13,9.999464358390294e-13,9.9989761910882e-13,9.999571485512878e-13,9.99999561676915e-13,9.999906485309782e-13,9.991709919114102e-13,9.994934879854032e-13,9.99998266068469e-13,1.7708509850408292e-24,3.0686855966656593e-17,9.999974288716402e-13,1.2822922648287304e-14,5.231271951400798e-16,8.0
-0.009720413019877389,9.997395272047634e-13,9.999589545236629e-13,9.999332685326925e-13,9.999963486332277e-13,9.999955748900848e-13,9.999978874822239e-13,9.999994050521486e-13,9.999636263598455e-13,9.997111055745755e-13,9.999270147358147e-13,9.999429353815337e-13,9.999333730947624e-13,9.998725544974395e-13,9.999464680886279e-13,9.999994307963529e-13,9.99988375674345e-13,9.989696884169218e-13,9.993705193721872e-13,9.99997844903457e-13,2.735207120703051e-24,3.8134550633921934e-17,9.99996804511777e-13,1.5825402434034058e-14,6.501065184668614e-16,8.0
-0.009665782469533635,9.99687628037106e-13,9.999508134331638e-13,9.999201868854635e-13,9.999956229097159e-13,9.99994692011401e-13,9.999974638580336e-13,9.999992696436468e-13,9.999565040476956e-13,9.996536032891522e-13,9.999124602210341e-13,9.999316604712857e-13,9.999202804021407e-13,9.9984738561923e-13,9.999356903245142e-13,9.999992918778865e-13,9.999861019656112e-13,9.987683819923018e-13,9.992475649746435e-13,9.999974236978159e-13,3.908249937225028e-24,4.557979155529001e-17,9.999961801664839e-13,1.877293803668106e-14,7.770616332532048e-16,8.0
-0.009611151919189882,9.996355220884042e-13,9.999426365467727e-13,9.999070874521742e-13,9.999948938727366e-13,9.999938041823704e-13,9.999970373032022e-13,9.999991291064472e-13,9.99949376991752e-13,9.995956890620014e-13,9.99897794178241e-13,9.999203417819471e-13,9.99907155253498e-13,9.998221062905984e-13,9.999248198256714e-13,9.999991455496181e-13,9.999838273664376e-13,9.985670704633215e-13,9.991246246471694e-13,9.9999700244856e-13,5.2899075363188485e-24,5.3022368802776664e-17,9.999955558357556e-13,2.1663176616440977e-14,9.039925238995787e-16,8.0
-0.00947914027584942,9.995089607488514e-13,9.999227372630895e-13,9.998753553704056e-13,9.999931199659562e-13,9.999916404717146e-13,9.999959957429536e-13,9.999987706864297e-13,9.999321360309977e-13,9.9945404155915e-13,9.998618971949536e-13,9.99892812890868e-13,9.998752944678788e-13,9.99760543016524e-13,9.99898195250592e-13,9.99998764776994e-13,9.999783270801387e-13,9.98080585950524e-13,9.988276036998794e-13,9.999959843293968e-13,9.489257707225647e-24,7.099498112807793e-17,9.999940472358574e-13,2.8404021485283704e-14,1.210613789698047e-15,8.0
-0.009347128632508958,9.993817541403323e-13,9.99902651281735e-13,9.998435093200565e-13,9.999913310833708e-13,9.999894542456662e-13,9.999949409445958e-13,9.99998389401219e-13,9.99914870090619e-13,9.993101287178208e-13,9.998253941265943e-13,9.998650464165153e-13,9.998432193455355e-13,9.996983003309808e-13,9.998711113639794e-13,9.999983510029563e-13,9.999728211733319e-13,9.97594070282731e-13,9.98530663240178e-13,9.9999496591833e-13,1.4905126224650566e-23,8.894957802685858e-17,9.999925387208965e-13,3.4804495803412485e-14,1.5170933834940937e-15,8.0
-0.009215116989168496,9.992541290506731e-13,9.998823907130633e-13,9.998115501028693e-13,9.999895296242526e-13,9.99987249027346e-13,9.999938750343353e-13,9.999979891080262e-13,9.998975814155066e-13,9.991642444314476e-13,9.997883646516e-13,9.998370675026325e-13,9.998109283034553e-13,9.996354078783969e-13,9.998436184251484e-13,9.999979098158583e-13,9.999673095638088e-13,9.971075467987508e-13,9.98233802877456e-13,9.99993947203326e-13,2.1536254905414756e-23,1.0688552993731772e-16,9.999910302907872e-13,4.0884161074640214e-14,1.823431210601732e-15,8.0
-0.009083105345828034,9.99126236668467e-13,9.998619657307151e-13,9.997794815235014e-13,9.99987717534887e-13,9.999850276824359e-13,9.999927997371222e-13,9.999975729229153e-13,9.998802721989194e-13,9.990167024732507e-13,9.997508923807555e-13,9.998089029216685e-13,9.99778426048352e-13,9.995719125481694e-13,9.998157597172712e-13,9.999974457291079e-13,9.999617922506022e-13,9.966210443535699e-13,9.979370225482e-13,9.999929281782587e-13,2.938136410972695e-23,1.2480267677916931e-16,9.99989521945443e-13,4.6667770515926015e-14,2.129627212142947e-15,8.0
-0.008951093702487572,9.989981843121805e-13,9.998413851508952e-13,9.997473087375025e-13,9.999858964014528e-13,9.999827925512947e-13,9.999917164589785e-13,9.999971433780748e-13,9.998629444691078e-13,9.988677868559229e-13,9.997130525088801e-13,9.997805777830618e-13,9.997457203355766e-13,9.995078663739102e-13,9.997875721364679e-13,9.999969624097814e-13,9.999562692703634e-13,9.961345914696445e-13,9.976403223617635e-13,9.999919088401468e-13,3.843918366853628e-23,1.4270111363156154e-16,9.999880136847768e-13,5.2179755544978155e-14,2.4356813550767616e-15,8.0
-0.00881908205914711,9.988700448298687e-13,9.99820656646398e-13,9.997150378248236e-13,9.999840675089905e-13,9.999805455345758e-13,9.999906263392254e-13,9.99996702518179e-13,9.998456000910532e-13,9.987177537035816e-13,9.996749124600707e-13,9.99752115337588e-13,9.997128210914272e-13,9.994433239625925e-13,9.997590871010185e-13,9.999964628183726e-13,9.999507406873787e-13,9.956482156767317e-13,9.973437025577808e-13,9.99990889188421e-13,4.8708460633445446e-23,1.6058112959910043e-16,9.999865055087039e-13,5.744386577943244e-14,2.7415936272394856e-15,8.0
